 Procedimentos hospitalares do SUS - por local de residência - Brasil
Internações por Ano atendimento e Região
Período:Jan/2008-Abr/2025
"Ano atendimento";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"2007";67421;147092;212951;115057;60441;602962
"2008";957548;3049505;4145530;1829533;866436;10848552
"2009";997869;3139753;4207628;1884429;880054;11109733
"2010";1018011;3199717;4331427;1897840;900145;11347140
"2011";1004572;3173262;4353851;1863673;871727;11267085
"2012";977008;3036587;4338043;1895406;856175;11103219
"2013";999278;3054558;4335543;1908748;881311;11179438
"2014";991735;3078525;4453901;1949821;879721;11353703
"2015";960215;3061678;4466259;1969049;868220;11325421
"2016";941378;3008913;4422756;2012549;870619;11256215
"2017";981040;3081083;4513623;2060078;887021;11522845
"2018";1007213;3199028;4645188;2107737;898481;11857647
"2019";1022792;3270865;4778105;2163911;949764;12185437
"2020";916892;2756416;4186906;1831700;839909;10531823
"2021";1028938;3095734;4541899;1966900;933057;11566528
"2022";1065410;3290896;4858553;2155560;993471;12363890
"2023";1143108;3483885;5213633;2303087;1087809;13231522
"2024";1175173;3663470;5536142;2502373;1146813;14023971
"2025";281451;933706;1560067;665144;295722;3736090
"Total";17537052;54724673;79102005;35082595;15966896;202413221
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
