CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Ano/mês compet. e Especialidade
Período:Out/2005-Abr/2025
"Ano/mês compet.";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"2005/Out";110523;149311;63933;68380;69478;2733;464358
"2005/Nov";111016;148379;64086;68541;70908;3791;466721
"2005/Dez";110669;147621;63908;68477;70650;4817;466142
"2006/Jan";110839;147180;63969;68376;70885;5241;466490
"2006/Fev";111038;147264;63880;68378;70855;5462;466877
"2006/Mar";110395;147165;63652;68319;69989;5572;465092
"2006/Abr";110251;146765;63443;68144;68949;5767;463319
"2006/Mai";104494;140952;60155;64507;66580;5525;442213
"2006/Jun";110234;147113;63195;68033;69171;5759;463505
"2006/Jul";110601;147510;63280;68016;69154;5794;464355
"2006/Ago";110789;147957;63224;67963;69112;5860;464905
"2006/Set";111468;148433;63469;68229;68881;5889;466369
"2006/Out";111750;148294;63430;68164;68946;5881;466465
"2006/Nov";110242;147073;63032;67932;67347;5899;461525
"2006/Dez";112173;148336;63539;68463;68985;6000;467496
"2007/Jan";112356;148662;63514;68315;68101;5990;466938
"2007/Fev";112382;148550;63531;68173;68581;5990;467207
"2007/Mar";112562;148593;63540;68112;68737;5991;467535
"2007/Abr";112328;148235;63313;67878;68666;6080;466500
"2007/Mai";112531;148253;63494;67928;68523;6246;466975
"2007/Jun";112382;148249;63476;67780;68447;6350;466684
"2007/Jul";112061;147431;62764;66733;68044;6414;463447
"2007/Ago";112276;147190;62555;66568;68072;6453;463114
"2007/Set";111811;146006;62202;66017;67607;6496;460139
"2007/Out";111944;146224;62325;66124;67516;6551;460684
"2007/Nov";111427;145512;62026;65792;67481;6557;458795
"2007/Dez";111718;145821;62088;65892;66803;6594;458916
"2008/Jan";111996;146068;61971;65891;68037;6693;460656
"2008/Fev";111885;146158;62050;66183;67406;6767;460449
"2008/Mar";111833;146296;62101;66218;67592;6860;460900
"2008/Abr";112120;146367;62027;66102;66842;7015;460473
"2008/Mai";111895;146200;61806;65887;66764;7055;459607
"2008/Jun";112220;146340;62071;65829;66665;7131;460256
"2008/Jul";112376;146254;61967;65697;66236;7048;459578
"2008/Ago";112399;146334;61789;65628;66421;7096;459667
"2008/Set";112592;146483;61585;65526;66225;7133;459544
"2008/Out";112988;146482;61654;65694;66091;7295;460204
"2008/Nov";113292;146364;61644;65617;66076;7334;460327
"2008/Dez";113687;146445;61659;65525;66110;7378;460804
"2009/Jan";113837;146568;61806;65546;65760;7411;460928
"2009/Fev";114369;146792;61850;65394;66072;7442;461919
"2009/Mar";114571;146798;61886;65157;66023;7492;461927
"2009/Abr";114896;146999;62023;65321;66174;7517;462930
"2009/Mai";114997;146525;61975;65179;66125;7511;462312
"2009/Jun";115015;146364;61778;65019;66278;7603;462057
"2009/Jul";114983;146543;61638;64900;66454;7613;462131
"2009/Ago";115071;145861;61412;64497;66682;7815;461338
"2009/Set";115002;146208;61309;64179;66460;7915;461073
"2009/Out";114945;146289;61288;64322;66465;7972;461281
"2009/Nov";114920;146244;61234;64218;66519;8040;461175
"2009/Dez";115134;146313;61153;64298;66559;7871;461328
"2010/Jan";115273;146324;60968;64034;66375;7898;460872
"2010/Fev";115462;146439;60951;63853;65659;7881;460245
"2010/Mar";115902;146685;60993;63866;65560;7919;460925
"2010/Abr";115635;146424;60920;63745;65265;7818;459807
"2010/Mai";115709;146806;60942;63668;64974;7817;459916
"2010/Jun";116015;146931;60919;63688;65023;7803;460379
"2010/Jul";116605;147373;60839;63625;65161;7834;461437
"2010/Ago";116766;147539;60665;63597;65073;7850;461490
"2010/Set";116970;148146;60659;63676;65242;8067;462760
"2010/Out";117063;148264;60730;63564;65072;8056;462749
"2010/Nov";117002;148491;60568;63442;65070;8080;462653
"2010/Dez";117300;148671;60619;63475;64890;8201;463156
"2011/Jan";117422;148414;60538;63278;64219;8184;462055
"2011/Fev";117462;148475;60612;63219;64167;8221;462156
"2011/Mar";117603;148563;60637;63191;64102;8291;462387
"2011/Abr";117539;148455;60071;62710;64081;8247;461103
"2011/Mai";117493;148058;59588;62394;64134;8291;459958
"2011/Jun";117239;147759;59375;61986;63969;8323;458651
"2011/Jul";117381;147876;59291;61713;63496;8346;458103
"2011/Ago";117844;148317;58949;61598;63633;8441;458782
"2011/Set";117897;148206;58813;61403;63368;8415;458102
"2011/Out";118259;148474;58803;61457;63196;8434;458623
"2011/Nov";118169;148219;58607;61328;63201;8482;458006
"2011/Dez";118253;148231;58554;61238;63325;8559;458160
"2012/Jan";118300;148059;58574;60842;63341;8635;457751
"2012/Fev";118231;148223;58480;60700;63016;8710;457360
"2012/Mar";117969;147808;58582;60450;62498;8760;456067
"2012/Abr";118195;147880;58547;60327;62317;8741;456007
"2012/Mai";118125;147779;58692;60151;61152;8783;454682
"2012/Jun";118380;148531;58672;60098;60956;8853;455490
"2012/Jul";118955;148783;58642;60166;61057;8892;456495
"2012/Ago";118916;149111;58630;59879;60858;9029;456423
"2012/Set";118645;149250;58540;59641;60785;9075;455936
"2012/Out";118520;149300;58458;59670;60978;9197;456123
"2012/Nov";118592;149437;58349;59654;60707;9248;455987
