ano,mes,mes_nome,especialidade,qtd_mes_especialidade,regiao,qtd_especialidade_regiao,qtd_internacoes_regiao
2007,1,Jan,Cirúrgicos,112356.0,1 Região Norte,9324.0,67421.0
2007,1,Jan,Cirúrgicos,112356.0,2 Região Nordeste,33146.0,147092.0
2007,1,Jan,Cirúrgicos,112356.0,3 Região Sudeste,49331.0,212951.0
2007,1,Jan,Cirúrgicos,112356.0,4 Região Sul,19489.0,115057.0
2007,1,Jan,Cirúrgicos,112356.0,5 Região Centro-Oeste,11736.0,60441.0
2007,2,Fev,Cirúrgicos,112382.0,1 Região Norte,9324.0,67421.0
2007,2,Fev,Cirúrgicos,112382.0,2 Região Nordeste,33146.0,147092.0
2007,2,Fev,Cirúrgicos,112382.0,3 Região Sudeste,49331.0,212951.0
2007,2,Fev,Cirúrgicos,112382.0,4 Região Sul,19489.0,115057.0
2007,2,Fev,Cirúrgicos,112382.0,5 Região Centro-Oeste,11736.0,60441.0
2007,3,Mar,Cirúrgicos,112562.0,1 Região Norte,9324.0,67421.0
2007,3,Mar,Cirúrgicos,112562.0,2 Região Nordeste,33146.0,147092.0
2007,3,Mar,Cirúrgicos,112562.0,3 Região Sudeste,49331.0,212951.0
2007,3,Mar,Cirúrgicos,112562.0,4 Região Sul,19489.0,115057.0
2007,3,Mar,Cirúrgicos,112562.0,5 Região Centro-Oeste,11736.0,60441.0
2007,4,Abr,Cirúrgicos,112328.0,1 Região Norte,9324.0,67421.0
2007,4,Abr,Cirúrgicos,112328.0,2 Região Nordeste,33146.0,147092.0
2007,4,Abr,Cirúrgicos,112328.0,3 Região Sudeste,49331.0,212951.0
2007,4,Abr,Cirúrgicos,112328.0,4 Região Sul,19489.0,115057.0
2007,4,Abr,Cirúrgicos,112328.0,5 Região Centro-Oeste,11736.0,60441.0
2007,5,Mai,Cirúrgicos,112531.0,1 Região Norte,9324.0,67421.0
2007,5,Mai,Cirúrgicos,112531.0,2 Região Nordeste,33146.0,147092.0
2007,5,Mai,Cirúrgicos,112531.0,3 Região Sudeste,49331.0,212951.0
2007,5,Mai,Cirúrgicos,112531.0,4 Região Sul,19489.0,115057.0
2007,5,Mai,Cirúrgicos,112531.0,5 Região Centro-Oeste,11736.0,60441.0
2007,6,Jun,Cirúrgicos,112382.0,1 Região Norte,9324.0,67421.0
2007,6,Jun,Cirúrgicos,112382.0,2 Região Nordeste,33146.0,147092.0
2007,6,Jun,Cirúrgicos,112382.0,3 Região Sudeste,49331.0,212951.0
2007,6,Jun,Cirúrgicos,112382.0,4 Região Sul,19489.0,115057.0
2007,6,Jun,Cirúrgicos,112382.0,5 Região Centro-Oeste,11736.0,60441.0
2007,7,Jul,Cirúrgicos,112061.0,1 Região Norte,9324.0,67421.0
2007,7,Jul,Cirúrgicos,112061.0,2 Região Nordeste,33146.0,147092.0
2007,7,Jul,Cirúrgicos,112061.0,3 Região Sudeste,49331.0,212951.0
2007,7,Jul,Cirúrgicos,112061.0,4 Região Sul,19489.0,115057.0
2007,7,Jul,Cirúrgicos,112061.0,5 Região Centro-Oeste,11736.0,60441.0
2007,8,Ago,Cirúrgicos,112276.0,1 Região Norte,9324.0,67421.0
2007,8,Ago,Cirúrgicos,112276.0,2 Região Nordeste,33146.0,147092.0
2007,8,Ago,Cirúrgicos,112276.0,3 Região Sudeste,49331.0,212951.0
2007,8,Ago,Cirúrgicos,112276.0,4 Região Sul,19489.0,115057.0
2007,8,Ago,Cirúrgicos,112276.0,5 Região Centro-Oeste,11736.0,60441.0
2007,9,Set,Cirúrgicos,111811.0,1 Região Norte,9324.0,67421.0
2007,9,Set,Cirúrgicos,111811.0,2 Região Nordeste,33146.0,147092.0
2007,9,Set,Cirúrgicos,111811.0,3 Região Sudeste,49331.0,212951.0
2007,9,Set,Cirúrgicos,111811.0,4 Região Sul,19489.0,115057.0
2007,9,Set,Cirúrgicos,111811.0,5 Região Centro-Oeste,11736.0,60441.0
2007,10,Out,Cirúrgicos,111944.0,1 Região Norte,9324.0,67421.0
2007,10,Out,Cirúrgicos,111944.0,2 Região Nordeste,33146.0,147092.0
